Alipur,28.79834576307126,77.13200548149945
Anand Vihar,28.651684438470827,77.30740618047795
Ashok Vihar,28.69244922312765,77.17596528398548
Aya Nagar,28.47242677414323,77.13156569632227
Bawana,28.7938583363514,77.04704334020228
Burari Crossing,28.728631593749004,77.19939832792016
CRRI Mathura Road,28.55187096729415,77.27491638003981
Chandni Chowk,28.658793275769952,77.22850448576679
DTU,28.75137800825496,77.11764126186573
Dr. Karni Singh Shooting Range,28.49992478517268,77.26750309300365
Dwarka-Sector 8,28.572705850286017,77.07056503521558
East Arjun Nagar,28.656351921864687,77.29471668749049
IGI Airport (T3),28.557216890317395,77.10228580936229
IHBAS,28.68273101785564,77.30510340094386
ITO,28.629512538842555,77.24140592792635
Jahangirpuri,28.73015244876172,77.16652985248695
Jawaharlal Nehru Stadium,28.583146000250732,77.23499420721967
Lodhi Road,28.61083176379604,77.10178681919167
Lodhi Road,28.590267688587204,77.22078511533704
Major Dhyan Chand National Stadium,28.612625494060545,77.236519447501
Mandir Marg,28.632621420332367,77.19897256019473
Mundka,28.683034646528025,77.03630602504803
NSIT Dwarka,28.610147243626134,77.03839441787487
Najafgarh,28.611298618165936,76.98279261447992
Narela,28.857166846185606,77.08888473983959
Nehru Nagar,28.570636706367836,77.25046813155092
North Campus,28.687767812403557,77.21029445590997
Okhla Phase-2,28.536810727329563,77.27641508548183
Patparganj,28.63448925623288,77.30959859343264
Punjabi Bagh,28.663432486733342,77.12430386172231
Pusa,28.637649657178716,77.15657918016943
Pusa,28.637649657178716,77.15657918016943
R K Puram,28.567172325585233,77.17691142239359
Rohini,28.739129790925237,77.08263427353674
Shadipur,28.6518546725705,77.15709522415378
Sirifort,28.550643045898664,77.21495295318438
Sonia Vihar,28.735374331066758,77.24863784500265
Sri Aurobindo Marg,28.531277804796225,77.19049028374364
Vivek Vihar,28.67214809121237,77.31760341383868
Wazirpur,28.696036730248455,77.15731208313564